pl_name,disc_year,x,y,z
11 Com b,2007,-88.36495785761475,-8.00884336609817,28.475644468901383
11 UMi b,2009,-25.50521160441589,-29.625963254448497,119.06779381201297
14 And b,2008,57.97369156207769,-7.298956031050023,47.71634126965185
14 Her b,2002,-5.954230683777855,-11.487906661216746,12.415414644607337
16 Cyg B b,1996,5.779530077610701,-12.135759682119696,16.31585992553967
17 Sco b,2020,-54.640409763216894,-109.41034644500002,-25.633063037663355
18 Del b,2008,52.57196068038417,-53.296592146202606,14.333718980832383
1RXS J160929.1-210524 b,2008,-60.19337357234732,-115.02307500970464,-50.04995722567302
24 Boo b,2018,-49.332600262608494,-37.38515974910796,73.36221213644909
24 Sex b,2010,-65.76278455147586,29.460533749249294,-1.1350304205226514
24 Sex c,2010,-65.76278455147586,29.460533749249294,-1.1350304205226514
2M0437 b,2021,40.44365463267619,107.26056143007776,58.03120727382231
2MASS J01225093-2439505 b,2013,28.75483294795686,10.87288836481269,-14.116664986866242
2MASS J0249-0557 c,2018,48.45372203907569,44.37657819190281,-6.859408591702856
2MASS J03590986+2009361 b,2024,55.4678283289817,95.269238483515,40.47309531327895
2MASS J11550485-7919108 b,2024,-18.688219161797107,0.4015249176595635,-99.1147430320088
2MASS J12073346-3932539 b,2004,-49.56008347843912,-1.6346304859121388,-40.946855468822925
2MASS J19383260+4603591 b,2015,114.62756956149552,-249.95422848682944,285.416289272316
2MASS J21252752-8138278 b,2024,3.8739276795501567,-3.0962483070422064,-33.753021315354175
2MASS J22362452+4751425 b,2016,43.608085014673456,-16.650047013057964,51.590799446276975
30 Ari B b,2009,31.43508768863432,25.6755612023398,18.623868232802064
4 UMa b,2006,-20.47873759730914,24.35997555547671,66.20897653224323
42 Dra b,2008,4.2437873556140255,-37.26166798798509,82.5336097470812
47 UMa b,1996,-10.137665731731706,2.742042201244645,8.94750629886708
47 UMa c,2001,-10.137665731731706,2.742042201244645,8.94750629886708
47 UMa d,2009,-10.137665731731706,2.742042201244645,8.94750629886708
51 Eri b,2015,10.45980976044312,27.8289677498746,-1.2844220497090255
51 Peg b,1995,13.921921575144374,-3.895573812509724,5.482653945564871
55 Cnc b,1996,-7.576013248701932,8.082650470765472,5.972402772161929
55 Cnc c,2004,-7.576013248701932,8.082650470765472,5.972402772161929
55 Cnc d,2002,-7.576013248701932,8.082650470765472,5.972402772161929
