designation,x,y,z,radius_val,phot_g_mean_mag
Gaia DR2 1003304124124525440,-130.78872601340686,645.9948014587592,1146.3157329093954,1.0378596,15.147583
Gaia DR2 1003428330281936128,-70.9784701732994,331.73539800800046,602.4576473838954,1.2103971,13.329075
Gaia DR2 1003362810557601664,-113.81577966762319,481.8179543430317,869.3262782693961,1.020793,14.96418
Gaia DR2 1003559039022718464,-112.10415484460945,672.9319836467396,1213.8018918159944,1.4401819,15.157725
Gaia DR2 1003499424876737408,-117.53976689026591,622.8037770879555,1109.8728598860698,1.872356,13.779718
Gaia DR2 1003545570005273472,-104.55974632999408,616.0521997627931,1106.3037433155625,0.60810256,16.62993
Gaia DR2 1003353052392009728,-167.2641398448407,709.8492031902291,1268.466036067665,1.4975601,14.622587
Gaia DR2 1003513787247371904,-102.31095079160943,549.3095541193662,984.5706018054299,0.65880775,16.861656
Gaia DR2 1003499802833858816,-146.42416786885738,775.3714976298226,1381.8331134502714,1.2455121,15.154406
Gaia DR2 1003523270534955776,-49.90216962570356,267.4081701356023,482.90574330994593,1.2315568,13.062483
Gaia DR2 1003459773738811392,-102.014235357153,536.8254327903585,937.9847787716444,1.1373515,14.914693
Gaia DR2 1003527187545126784,-120.96219753145024,653.3487740452834,1184.7039212045627,1.0603846,16.089773
Gaia DR2 1003355629372283008,-247.6057385003736,1039.2585340412857,1867.2400170221122,2.045328,14.762199
Gaia DR2 1003558935943502336,-109.94915644233994,658.0856352617302,1186.1173068957717,1.3874785,15.003279
Gaia DR2 1003529317849217280,-172.7000895799037,982.1759970003927,1737.0699371301164,1.7101775,15.03055
Gaia DR2 1003523476693388544,-103.86926904063951,559.377750555729,1010.8527996332224,0.8326353,15.909362
Gaia DR2 1003353224190700544,-95.12927251517256,403.79937194940493,722.239973486732,1.4418832,13.770276
Gaia DR2 1003471352970484224,-191.67449047990206,995.0209209361419,1763.5460561428642,1.8082767,14.37842
Gaia DR2 1003365799854940288,-166.06386339335475,701.9995844927867,1274.1050517987642,0.8916284,16.35248
Gaia DR2 1003355629372282112,-171.3723505801127,719.4273717372284,1293.3370968714698,0.7995116,16.856272
Gaia DR2 1003526637789318272,-199.22865745199638,1077.7652208864254,1950.757010724372,1.8568525,15.08911
Gaia DR2 1003496190765127296,-153.1627910243035,783.9160010906269,1396.1958807764202,0.9474485,15.793538
Gaia DR2 1003534020837149952,-130.14143660806994,762.0873250412768,1353.4262125559915,1.2771548,15.59118
Gaia DR2 1003527324984086400,-119.95412154418564,652.6383363887297,1183.1375212706314,1.2576584,15.238656
Gaia DR2 1003353292910176000,-126.80337150740121,534.1793981024588,954.9658707575197,1.017966,15.214157
Gaia DR2 1003492724727636992,-72.30081941270849,405.2431532861384,722.7452806134796,0.7587826,15.247907
Gaia DR2 1003547902171547648,-120.01535929790724,725.5594018909687,1291.650777804387,1.3099909,15.387161
Gaia DR2 1003520762274060032,-236.10802354220044,1262.6647343514928,2273.347885048424,1.5157844,15.586477
Gaia DR2 1003363463392631680,-148.9935293911243,633.0913010921225,1143.6543592865758,0.7780644,16.714222
Gaia DR2 1003498153566416640,-163.47487714984103,857.9699131132397,1524.2258777762595,9.404298,11.943159
Gaia DR2 1003520281237724544,-217.21860583403148,1158.5059766930533,2082.854935986746,1.9798398,15.092183
Gaia DR2 1003540381684740608,-114.55240756973097,642.4903114621114,1150.658301567431,1.3492547,15.442878
Gaia DR2 1003304360345734912,-53.14096821244407,264.82287357587563,467.20028607986757,1.2231288,13.185789
Gaia DR2 1003528355776238208,-83.79787119989062,459.48032824022397,835.0203303172161,11.830924,10.312093
Gaia DR2 1003456745785941632,-101.89526802014443,490.61521550540454,907.0972678289684,0.53461695,17.05998
Gaia DR2 1003353430349128320,-61.301644207378445,258.2685840150726,462.47341974385006,0.9920117,13.685374
Gaia DR2 1003468157514938240,-185.00386914869307,955.3956160308895,1685.7084239049432,3.8245406,13.9574795
Gaia DR2 1003519972000080128,-215.69374941921436,1148.5094197820044,2063.2041891152508,1.6825926,15.059633
Gaia DR2 1003364837782161280,-164.85015356986906,696.6592562225037,1260.40304692945,0.95010126,16.542538
Gaia DR2 1003528252697023744,-194.5503889193896,1065.5348505382642,1935.0841737887424,1.9797486,15.680938
Gaia DR2 1003362089003091072,-203.783566297049,853.1628878264708,1538.0842721122,2.176219,14.133213
Gaia DR2 1003365456257449984,-231.23309986840275,977.6356717693376,1772.8815201580178,1.8377463,15.196983
Gaia DR2 1003369201468933504,-87.42606801976595,373.87592972044337,680.4464793032292,1.2928419,13.563714
Gaia DR2 1003365662415880320,-124.91485048582135,528.5586200877028,958.7699024639054,0.5429403,16.900845
Gaia DR2 1003364081867916544,-91.53962522949182,385.8541384500828,697.6705132538033,0.69600755,15.690668
Gaia DR2 1003365765495095552,-76.67347885365481,325.14102501862044,590.28445786278,0.8184427,14.98795
Gaia DR2 1003380192288361472,-197.03225772258745,862.3091653542814,1567.3817541803678,1.0349574,16.211594
Gaia DR2 1003398162431664768,-232.6097904209043,1087.4564477970205,1952.8535557803145,1.8683943,14.963178
Gaia DR2 1003497947407984128,-106.62851384008864,557.7966597323547,990.4945625825396,1.3833724,14.260687
Gaia DR2 1003528355776237824,-93.64090600837197,513.0263148580184,932.0778971259224,1.2218025,14.015535
Gaia DR2 1003499837193593856,-188.50097813263918,997.9624472303674,1780.2523813562616,2.5338285,14.951743
Gaia DR2 1003457742218356224,-111.4165870469051,540.594110103726,999.7670569737381,0.6689849,16.560974
Gaia DR2 1003393661305630592,-134.31746796418702,641.5711748185016,1147.3143265104388,0.7749959,16.702076
Gaia DR2 1003297320896425472,-236.22113963297917,1135.3254827656176,2015.9917418661375,1.3797189,15.997412
Gaia DR2 1003369201468934528,-72.9700673046084,312.31679801613205,568.2517026236906,0.60183334,16.4637
Gaia DR2 1003368686072858624,-131.36666510560443,559.1507617997207,1014.9783436203284,0.91512185,15.974026
Gaia DR2 1003530554799799808,-82.72540625087922,475.3926590106268,842.6862226896155,1.0499955,14.824041
Gaia DR2 1003526672149060736,-135.21864661926466,734.7670930071463,1329.8421502610772,1.0861453,15.52997
Gaia DR2 1003530554799800064,-156.97489589260215,902.750439808213,1600.2892337687033,1.3959184,15.291533
Gaia DR2 1003352880593315968,-187.66440390993063,791.2365189860061,1413.8333448274093,0.9960162,16.122969
Gaia DR2 1003523614132338432,-150.14883186265524,807.2740145138906,1460.2036822334428,1.1559886,16.283527
Gaia DR2 1003470425257669888,-235.82349943491496,1218.8941754427215,2152.975301619908,1.3445891,15.957373
Gaia DR2 1003526672149061504,-47.66947621353706,259.0973826206012,468.9028840854926,1.31896,12.690638
Gaia DR2 1003529524007648512,-99.28436369739306,565.9730402208146,1001.078692595478,1.0982544,15.168521
Gaia DR2 1003470390897931904,-69.13037048525506,357.6254514274745,631.51598311197,0.84631187,15.810672
Gaia DR2 1003470390897931776,-155.88517247599756,805.2026341050629,1421.551683743028,1.0664119,16.025923
Gaia DR2 1003528836812881024,-78.3304646101745,443.9498352221455,783.8665190224351,0.96066844,14.918535
Gaia DR2 1003301680286141696,-57.76722080066281,285.16870789353715,503.7446753355021,0.94254804,13.593057
Gaia DR2 1003491212899153792,-150.51894211606168,845.8389021348942,1507.6573449301998,2.3384755,14.326676
Gaia DR2 1003352846233578368,-205.7570720931252,871.2902845269401,1556.8554121884008,2.0797715,14.2369175
Gaia DR2 1003297423975638528,-222.45689471539902,1066.3047491345685,1894.1860616997083,1.1596724,16.049887
Gaia DR2 1003469806782378240,-89.80919837465704,462.09949000305977,816.5163498660634,0.9706136,15.127095
Gaia DR2 1003523407973907456,-267.7620024259843,1435.2439511649582,2594.0881649738894,1.6979452,15.200702
Gaia DR2 1003508667646149120,-66.83646539336385,353.3868503735084,635.1865410476278,1.1195867,14.091068
Gaia DR2 1003471112452310912,-320.8210582078106,1654.910537364113,2931.2660921814872,18.400927,12.190369
Gaia DR2 1003364906501638656,-113.23424610212729,479.4020901195585,867.7862762995059,0.9000436,14.990776
Gaia DR2 1003370026102656768,-192.42504681478266,827.9748949374921,1508.0749406284326,1.2282295,15.725332
Gaia DR2 1003361951564140928,-138.0607325185785,581.3023923762781,1047.8189793201032,0.7646083,16.527704
Gaia DR2 1003539243517480704,-64.2478462745337,366.0964112441957,653.5414016271435,0.6179711,15.885601
Gaia DR2 1003356076048891008,-144.12762835292503,611.842492198994,1098.3464865383542,0.65111893,17.047548
Gaia DR2 1003369579426066432,-18.080681761050982,78.33946228100422,142.25104386408057,0.7277759,14.061234
Gaia DR2 1003469360105779840,-23.607834869554896,120.93422301190635,213.23247122697532,0.5789188,14.612598
Gaia DR2 1003363532112108928,-61.89362542174008,263.63417943586353,476.5458829382228,0.90700173,14.198388
Gaia DR2 1003352811873841024,-235.008241411942,995.1462645101258,1776.8193623003438,7.710106,12.705865
Gaia DR2 1003467539039649536,-96.278185700615,496.18612906843657,873.2009070986705,1.3397397,14.319074
Gaia DR2 1003520590475359104,-74.76367363511181,395.7073214264804,712.6873791368666,1.1068245,14.02221
Gaia DR2 1003513787247372160,-115.11613621004237,617.8469467054892,1107.1514868963945,1.5867877,14.537876
Gaia DR2 1003457639139143936,-119.1637837936677,582.4173677720611,1077.5495357416135,0.635688,16.864685
Gaia DR2 1003423794796332800,-63.18328838768858,287.73514790559256,521.0306629829562,0.5746055,16.565767
Gaia DR2 1003526465990632448,-89.86690286519334,486.23490799062245,878.3934272066351,1.2568834,14.512957
Gaia DR2 1003529249129739520,-234.0951246144553,1325.938008855961,2343.522593953446,2.2277176,14.524641
Gaia DR2 1003452931854597888,-147.68549534094083,701.7577261541629,1292.6234455919878,2.2801652,13.586858
Gaia DR2 1003522033584382336,-40.48382704441526,218.9313171764483,395.4648589363576,0.79164046,14.224825
Gaia DR2 1003356969402087680,-92.17424727110351,393.63685205473365,708.8543249797558,1.2846711,13.682321
Gaia DR2 1003367277323597568,-37.953716398906074,163.88212367354075,296.65374725474334,0.6655776,15.251592
Gaia DR2 1003467126722788224,-155.26400748794913,795.0536552464246,1396.9028925007633,0.7376157,16.94287
Gaia DR2 1003356488365750912,-83.53542420763846,355.8942853248643,640.0066932457778,0.5943855,15.982158
Gaia DR2 1003355285774908288,-84.37724383781284,357.4971653732504,641.2054731086491,1.0716094,14.624261
Gaia DR2 1003410875534899840,-210.69529772088399,1041.2682904434735,1873.6131400589086,1.3928748,15.883797
Gaia DR2 1003359924339588864,-405.9780019298322,1737.9233380149703,3131.0194977657725,9.082147,13.711007
Gaia DR2 1003409913461868032,-55.64265646967954,273.6929756178858,490.662237880781,1.029423,13.674113
Gaia DR2 1003398093712183808,-202.51773427250453,943.8191487553897,1694.044716311277,1.2785956,15.576642
Gaia DR2 1003526947026971264,-34.26402787489724,187.31498421961876,339.364303399775,0.55948627,16.354282
Gaia DR2 1003467642118862848,-105.47323775244587,540.51828061634,950.9322298771209,1.3010167,14.687593
Gaia DR2 1003531997908808448,-85.25307708556947,487.8029057876331,865.3314400248743,0.5946972,16.768635
Gaia DR2 1003357072481301888,-238.60120050444777,1019.6861608104554,1837.4562185490993,1.4297547,16.24891
Gaia DR2 1003356179128104192,-231.48390052865307,981.9546423266453,1763.7998631269545,1.6695094,15.50048
Gaia DR2 1003313362597106560,-88.90826562484274,441.4673114318148,786.1633124658855,0.6826177,16.973656
Gaia DR2 1003394966975678464,-127.37165041731086,601.3192630142001,1078.1620974773432,2.366103,12.267049
Gaia DR2 1003339785237071488,-51.28767868807253,232.64635853763718,413.0286354118325,0.6653289,16.201174
Gaia DR2 1003353224190700672,-41.236701228317926,175.1661493535694,313.3344635753665,0.7168961,15.358783
Gaia DR2 1003526740868542336,-94.07747911344784,512.9974732459619,928.0535064886866,0.6665374,16.48673
Gaia DR2 1003524954162146560,-181.98736831685994,986.5170814427275,1781.4765126594184,1.594698,15.22816
Gaia DR2 1003527737300954624,-70.95414506299166,389.17761220934744,705.5153350714404,0.6331049,16.061394
Gaia DR2 1003558180029256704,-188.35272433504346,1126.0190999695317,2029.546692123221,1.6320666,15.031289
Gaia DR2 1003391805879748992,-23.842091731408065,110.88857179988553,198.6276551495994,1.2787668,10.72535
Gaia DR2 1003514337002994816,-152.98608406180955,818.8212032071016,1470.4945043400485,0.8749912,16.765568
Gaia DR2 1003366212171709696,-164.38895223168814,706.8923244432694,1276.5996117543566,1.0660173,15.400011
Gaia DR2 1003525057241362688,-75.80226157792103,412.40519519093095,745.4012455912848,0.9346877,14.782765
