designation,x,y,z,radius_val,phot_g_mean_mag
Gaia DR2 1005297813583284352,-92.96258661702107,797.0727890442398,1429.6313312754694,1.1862025,15.678344
Gaia DR2 1005431679124757376,-29.581570360714483,399.99125550828273,670.5110171848995,1.4955453,13.263847
Gaia DR2 1005365639706616704,-78.8946701116373,833.6425981397558,1517.440971210197,1.7898014,14.996726
Gaia DR2 1005272215577848832,-61.69266545813466,723.3017768400433,1296.7592443106655,1.672118,14.596292
Gaia DR2 1005339453290774912,-110.61846339135593,960.093125619068,1765.8167838510449,1.469367,15.721642
Gaia DR2 1005385671434091520,-72.04525944706164,811.0178457822008,1487.8741391686522,1.7381917,14.6275625
Gaia DR2 1005266718019679232,-127.26147077473546,1370.1316746135958,2462.1372010550394,2.6343446,15.582357
Gaia DR2 1005197203972559744,-18.61944552137504,168.0021741476574,298.16279611585276,0.91856164,12.831054
Gaia DR2 1005256130924484224,-95.18776542702352,990.6119095130144,1767.4348703410303,2.3485992,14.743793
Gaia DR2 1005271283569727360,-59.067319250567664,673.0535183721812,1205.946469185678,1.247264,15.723916
Gaia DR2 1005442811679986816,-63.95874557133789,918.5565214354806,1552.5437822819952,1.5562129,14.676258
Gaia DR2 1005261667138127488,-28.4134217779375,287.89965369175195,515.0300760482393,1.4247426,12.771497
Gaia DR2 1005392436007032192,-34.460180652716105,414.34824439084997,764.4080890718728,0.6320061,16.627071
Gaia DR2 1005265103111963904,-58.322196542771856,610.2285324261003,1097.736615531103,1.3972073,14.750957
Gaia DR2 1005422917390360832,-60.73725505339086,671.541777212968,1255.3236667875356,0.8653816,16.733103
Gaia DR2 1005280629417817856,-66.90145949499133,779.5493678390781,1407.6647719058005,0.9580052,16.510445
Gaia DR2 1005308946138415616,-33.04603584225429,309.5087268577787,557.2713387034987,12.156939,9.392088
Gaia DR2 1005253661319234048,-102.59630546604691,1053.8176677148058,1873.9620259983071,1.3975538,15.594905
Gaia DR2 1005438825950338944,-47.57423721377421,662.6335877866799,1114.5145971311288,0.8867887,16.017385
Gaia DR2 1005363745624791552,-65.65343931572195,712.0985326034141,1288.2481107127117,2.52203,14.298364
Gaia DR2 1005361615321434368,-60.58942316503769,627.0388326031351,1135.4112739568054,0.67984253,16.735651
Gaia DR2 1005201434516901760,-38.59485600529954,370.7855903819032,655.1024442142079,0.6177639,16.307552
Gaia DR2 1005268710884492672,-56.805592624684806,602.5467911263081,1086.3330855453105,1.1997203,14.92035
Gaia DR2 1005319838175482752,-52.61053732746109,515.2240350611539,933.0763944249533,1.0789183,15.035478
Gaia DR2 1005438344913990400,-39.09888335019788,530.0128610679942,892.1315213432839,1.3313698,14.311362
Gaia DR2 1005385259117230208,-38.706390545051,429.21596908282913,785.779818802842,0.6759548,16.816078
Gaia DR2 1005438825950337664,-40.67117064678445,564.9197152950791,950.2884006647711,0.80515635,16.137691
Gaia DR2 1005234694743545728,-76.05465964449137,836.9740916414655,1489.4670004861148,1.6209843,15.148324
Gaia DR2 1005320284852080640,-47.32480751825792,469.940949753387,853.5631545271586,0.8373165,15.723792
Gaia DR2 1005254142355586560,-33.02227388113154,350.962825252536,623.8356731554991,0.76496685,16.114162
Gaia DR2 1005271627167109888,-70.33361587463212,819.4248226592497,1467.8299234807691,1.1717001,15.807116
Gaia DR2 1005312107234351872,-78.00493960791678,746.8676859607588,1345.5387003073388,1.4684992,14.965433
Gaia DR2 1005260769489782400,-75.84108941046357,846.0683933342891,1515.8797730150318,0.7912846,16.777706
Gaia DR2 1005261667138126080,-34.823361227429594,352.1321783287142,629.966681380854,1.9951792,13.166944
Gaia DR2 1005195726503811968,-50.91006175732606,454.17733393793867,804.3689753536988,2.9957445,12.968307
Gaia DR2 1005362130717087872,-28.65329535053421,293.07900017967995,531.6319438262844,0.8980288,14.606369
