designation,x,y,z,radius_val,phot_g_mean_mag
Gaia DR2 1001226940501588864,-98.87778286469255,587.4102812094341,917.5217726870007,1.4209459,14.363839
Gaia DR2 1001429491159212544,-148.14483930543554,905.180829191843,1477.0845821417981,1.0341771,16.138924
Gaia DR2 1001234018607689984,-152.842161563088,914.035033369493,1431.8826780371755,0.9999504,15.787566
Gaia DR2 1001239103848970752,-89.74413206728254,549.0042551313816,865.1192650055257,0.83193123,15.725895
Gaia DR2 1001267828590098048,-93.21554210950858,569.938644193919,908.0822936798917,1.3579962,14.285362
Gaia DR2 1001313831982685184,-62.335044515583164,389.62266457548355,620.2544254328764,1.5504873,12.472082
Gaia DR2 1001418667841828992,-165.60402851998552,1019.2805688103587,1647.1214632442857,1.4744864,13.949986
Gaia DR2 1001248685919080960,-48.513154651219565,279.44760099665734,441.3343424280535,0.6308742,15.168338
Gaia DR2 1001377058198608000,-170.52083645549473,993.3462627541521,1610.349678310633,1.7349235,14.63143
Gaia DR2 1001401659771264000,-106.85921614431408,620.1594953907396,1010.2397972623602,1.2610013,14.916418
Gaia DR2 1001374206340324224,-163.70878543931198,943.4758250606154,1523.541153655616,1.3410603,15.302956
Gaia DR2 1001291949126315264,-114.51329636270638,740.7080714463248,1174.7775416713343,1.0482689,14.913664
Gaia DR2 1001306208417732224,-95.43067048372592,623.2193370595621,992.8991208783741,9.43603,11.175682
Gaia DR2 1001374412498754176,-51.46710293928392,297.78060850929427,481.49753144509526,1.111592,13.186787
Gaia DR2 1001248312258677888,-102.75492509652337,589.1747339134309,929.3147347786892,1.3780564,14.1289835
Gaia DR2 1001233984247954048,-68.71670716817428,411.5018296290327,644.3651102224247,0.6448936,15.848462
Gaia DR2 1001293598393749504,-101.59608827771528,656.3062420057323,1042.9415524808928,0.9040284,15.895403
Gaia DR2 1001226562542823168,-195.31112649548925,1166.2058446766807,1818.2991885343417,18.295967,11.3858185
Gaia DR2 1001401350533785344,-120.24651372491829,700.9801761156469,1141.7734454515587,1.0697398,15.7878
Gaia DR2 1001294182509302144,-293.8129245429153,1903.446170625026,3027.052328361367,2.6409528,15.303875
Gaia DR2 1001376096125934080,-100.2638026851179,581.2340383700623,940.4366703685296,1.1642774,14.505365
Gaia DR2 1001438527770454528,-173.49779712810158,1128.758678633702,1837.764315056502,1.8007407,15.027586
Gaia DR2 1001428632165752320,-108.92343761652248,658.8308463750851,1072.2306498356188,1.7710347,13.80682
Gaia DR2 1001353418698719616,-107.95938288654023,618.4975589006763,990.3110667963223,0.7187401,16.498924
Gaia DR2 1001331016148839040,-15.549069899961598,103.43029062071984,165.31911727741925,0.59058887,13.840271
Gaia DR2 1001401041295969664,-45.13970312373962,261.135401857432,425.5231724321937,0.534872,16.52767
Gaia DR2 1001269855814631552,-190.10719398410086,1124.2765482383313,1792.3213434399518,1.3796535,15.70137
Gaia DR2 1001403618276347392,-246.13766958790882,1436.1137022894177,2346.376514955119,1.1967261,16.076626
Gaia DR2 1001296102358054144,-66.35972591489576,443.16287724258905,698.6844737425788,0.5770944,16.860842
Gaia DR2 1001221099346055296,-113.37484891665555,666.0267059630536,1040.930474044741,1.7558597,13.498125
Gaia DR2 1001364242016187392,-250.14078877944135,1437.3819481949054,2327.7947790424973,2.0913804,15.277223
Gaia DR2 1001418289884704256,-121.38673401928506,740.019220672595,1193.7956674210025,0.97647554,15.45786
Gaia DR2 1001414716471838848,-188.50309802502116,1122.7781218774583,1847.2871192923988,1.4994053,15.503895
Gaia DR2 1001429456799470208,-102.71602945937815,623.9836344718594,1018.2681611570217,0.76185954,16.483032
Gaia DR2 1001418392963919488,-54.26413675755989,331.7792761679755,535.6841687616009,0.866954,14.806941
Gaia DR2 1001290742238510336,-226.05547289452775,1441.1894272354778,2280.162693137774,8.50659,12.927179
