designation,x,y,z,radius_val,phot_g_mean_mag
Gaia DR2 1002962004209335424,-200.46446638553527,749.4961968091517,1377.2711244629486,0.8421011,16.809616
Gaia DR2 1003231350198746752,-105.61393321478162,479.93625957916,838.3810253212171,0.7138502,16.989492
Gaia DR2 1003182039677790336,-84.73949066757334,380.17568480604785,650.8006317776311,0.8987165,14.381337
Gaia DR2 1003086489541583616,-109.41806431655006,391.4838739815223,741.1835680417126,1.0732172,14.374845
Gaia DR2 1003099511882430208,-259.60212193571374,939.3385155828743,1782.4020663397746,1.5336024,16.183905
Gaia DR2 1003198227411096320,-224.5393433860408,1035.8009798641256,1787.1195035550743,1.7553273,15.334567
Gaia DR2 1003024367134464768,-171.30212031761306,703.3259396883291,1296.994704850502,2.1578395,13.750463
Gaia DR2 1003259486527436672,-79.52849155573594,378.1041319957193,660.6615365920469,1.2494309,13.563799
Gaia DR2 1003032853989835648,-33.76174983492713,137.05689660740418,254.4448642296566,0.6883636,14.092153
Gaia DR2 1003105284318475008,-178.84738327128977,653.0523556262812,1246.7627872444446,4.915146,12.59112
Gaia DR2 1003186712602206720,-78.39814661398543,344.95719851461456,592.6820609124255,1.1145079,13.592026
Gaia DR2 1003057283764119296,-97.97865737202254,362.13969770131024,671.792509361282,1.2924783,13.490017
Gaia DR2 1003021412197208576,-46.59595265720195,183.76015127958723,339.3413414192582,0.5123367,16.346428
Gaia DR2 1003027150273268352,-123.45568180009613,502.63751790993274,932.4685446018597,1.0921711,15.0039835
Gaia DR2 1003057043245949056,-179.7907993022185,662.250307995893,1227.28965700999,0.86922497,16.515371
Gaia DR2 1003233824099902848,-163.39650620668047,744.2619137482258,1305.9873011575387,1.5101013,14.696677
Gaia DR2 1003240004556814080,-73.43437624593972,333.1255346426095,586.2837808804651,0.73564243,16.446562
Gaia DR2 1003275566884987648,-17.978618010100625,89.81332693934637,157.4635011836001,0.8964286,12.022504
Gaia DR2 1003276013561585792,-54.863134762594825,268.9741775043624,472.34516260294816,2.0249753,12.3319
Gaia DR2 1003041924961070336,-136.75616900822024,500.13655819667366,921.3274442977494,1.22707,14.862164
Gaia DR2 1003105078160045312,-214.78474429152115,783.5645397742172,1494.206310633518,0.8608094,16.798635
