designation,x,y,z,radius_val,phot_g_mean_mag
Gaia DR2 1004934661212765568,-118.631352449792,851.3622738533618,1485.8322994730374,0.85533315,16.613457
Gaia DR2 1005043757677574656,-94.2731755429529,616.6791727837588,1090.6084878825807,1.2816821,14.612572
Gaia DR2 1004988816455844864,-34.29871924702303,272.7803370229347,473.9014198924961,0.9321578,13.549011
Gaia DR2 1005053756361543168,-50.08451001427813,323.0222182502137,575.5054577513026,0.78864175,16.85716
Gaia DR2 1005043654598359680,-53.6664119475062,350.18391363828806,618.8283321104116,0.98159915,14.335071
Gaia DR2 1005168792765581440,-72.98675609529167,702.3792044575209,1228.0161637468339,1.461304,15.014541
Gaia DR2 1005167658894206080,-74.21023494335608,693.5611885608815,1210.717334758449,1.3991947,14.363771
Gaia DR2 1005146592078540160,-58.36288218564519,472.931183978662,863.4507916903428,0.86381567,15.818711
Gaia DR2 1004950745865748352,-87.98438678367374,698.3326604373758,1203.968875626318,1.2412783,15.237618
Gaia DR2 1005043757677575040,-196.80152170251773,1288.2155833944357,2278.2806986612645,1.4655442,15.939811
Gaia DR2 1005095297285098112,-45.51831172312082,362.25000981697775,641.5128917392926,0.65956724,16.325754
Gaia DR2 1005153159084629120,-73.91914973716277,691.962981334024,1200.5765163107951,1.405458,15.284917
Gaia DR2 1005042486367254784,-117.14109511500048,758.0805718039852,1336.7071253591632,1.1350483,15.342801
Gaia DR2 1004943221083042944,-40.89040611306386,315.937628039666,542.0519718970427,0.7748097,15.113696
Gaia DR2 1005096190638295040,-55.90436304153298,445.8590310066115,790.4583188626938,0.86463666,15.27933
Gaia DR2 1005083237016925184,-92.29374461349637,717.1842673976533,1267.7800437562064,1.5424888,14.537863
Gaia DR2 1005048705479900928,-72.80792999918408,483.3941108815014,857.9724498662237,1.2780639,14.129693
Gaia DR2 1005097118351221504,-50.987146929125586,399.326561041869,708.6278960064828,0.67306435,16.577795
Gaia DR2 1004966379546700416,-60.39622479456795,492.9110375796647,856.9002504107353,1.0672711,14.53083
Gaia DR2 1005081690828698752,-140.18032483375634,1077.8789182216742,1900.5137240414429,1.5645834,15.757784
Gaia DR2 1005043242281499008,-160.18232546527275,1037.6857604498637,1830.2237680090745,1.6639997,15.544683
Gaia DR2 1005162397557602560,-17.502358608214102,161.39338618540404,282.4728626436539,0.7122597,13.698096
Gaia DR2 1004949474555420032,-75.9796392947858,588.4861005924222,1013.031756441626,0.6671455,16.80041
Gaia DR2 1005084748845410432,-54.81535127635798,426.2454344896346,754.5779041864062,1.3216681,14.39087
Gaia DR2 1005097668107043968,-28.269563176558055,225.14742575263054,399.2764454237278,0.61064607,16.419823
Gaia DR2 1005151819054830336,-95.26570615709637,871.8441489626908,1507.8124155992455,1.6237249,14.517177
Gaia DR2 1005153090365150080,-55.683963076057616,517.442362946891,897.42510387884,0.8000742,16.873672
Gaia DR2 1005098080423904640,-113.50081976536009,913.3149491089815,1623.1092377478076,1.5290298,14.668059
Gaia DR2 1005043688958097280,-120.67440299019299,789.0048916122036,1395.438026549215,1.1246747,15.3385515
Gaia DR2 1004927724841108096,-99.20167850841321,694.5658677104227,1202.7835705775462,1.4678335,14.573461
Gaia DR2 1005081622109219328,-129.62065218463053,989.3869621908788,1743.5427406394417,1.1353109,15.9451065
Gaia DR2 1005146488999326208,-63.22844096967876,517.4173962464758,945.074021458867,0.92772347,15.750815
Gaia DR2 1004989258837014016,-99.02743192683704,792.5437295541647,1380.0122245334699,1.0229834,16.372982
Gaia DR2 1005138139582862592,-93.14230599557419,771.4991232865864,1399.6107467834602,1.1030467,16.36065
Gaia DR2 1005049117796758400,-110.30305670935547,731.7557994032103,1299.826450376184,0.95150477,16.520306
Gaia DR2 1005095159846141312,-16.291966458062923,128.12486179439142,226.84343245754619,0.63707507,14.327799
Gaia DR2 1005043276641236224,-111.11126309480277,720.324638459532,1271.1579896998096,1.240224,14.686858
Gaia DR2 1004965005157168640,-41.62992036900118,336.2983231772164,582.765580878121,0.5396594,16.978004
Gaia DR2 1005152574969067904,-88.49818088587267,810.4655408564876,1406.1982959331087,2.1758308,14.696216
Gaia DR2 1005045166426845312,-128.50142416532006,838.6413333848099,1483.4624958827833,0.86043537,16.16104
Gaia DR2 1005167177857876352,-88.94303637134192,839.6947647137504,1463.9021533363427,1.0534497,15.622704
Gaia DR2 1005153571401488000,-80.96424841903618,759.2695643693244,1318.7214499791012,1.2368392,15.090839
Gaia DR2 1004952876169520128,-115.3489553736166,917.1209522788922,1586.4029988802922,1.2016811,15.953205
Gaia DR2 1004961908485107456,-47.65002862680285,403.5741962286637,698.070339756502,1.0737631,15.500485
Gaia DR2 1005146390215857536,-131.65752573640776,1083.4421356229698,1976.8091439629075,7.1477175,12.996823
Gaia DR2 1004966551345394048,-143.33876057045623,1171.9595317030764,2037.0657706178285,1.6727885,15.03422
Gaia DR2 1005097839905733248,-106.22652561295568,847.3181142753064,1505.6582470112994,1.7873062,14.611872
Gaia DR2 1005046472096918272,-59.43519618464548,395.57130319046684,698.9030761005207,0.8192312,14.676939
Gaia DR2 1005082859059801216,-133.10166317718006,1024.2418354371669,1808.2268245892733,1.8802105,14.942778
Gaia DR2 1004998402822738944,-115.72833420630742,914.9662238888634,1607.981399645524,1.2479705,15.298185
Gaia DR2 1004966654424609536,-66.88993309417793,549.504978886361,956.0087013216474,0.9444378,16.410385
Gaia DR2 1005172675415928448,-28.672934777375538,288.8727885610225,506.05174327167305,0.75037897,15.21222
