designation,x,y,z,radius_val,phot_g_mean_mag
Gaia DR2 1003890541778387072,-230.47913408688254,937.8621903694063,1775.5885241868245,1.603965,15.098639
Gaia DR2 1004127039857464960,-129.10220881719553,687.5041564296974,1315.763282810955,1.5602019,14.883094
Gaia DR2 1004076050005836672,-86.4056634731752,446.5806968368962,852.3070243065761,0.8406339,15.899887
Gaia DR2 1004014339915517568,-174.00765492380478,787.8983346717212,1548.1966782252248,1.3006212,15.797721
Gaia DR2 1004127623973017472,-112.17588625856803,599.1659118601277,1147.61669319789,0.7011575,16.890276
Gaia DR2 1004123015472834048,-51.53643090908046,299.593161860007,574.3498702931844,0.7515758,15.756847
Gaia DR2 1004110822061132288,-69.79375191305478,404.7601529103856,768.5265249964484,0.93247336,15.901379
Gaia DR2 1004099380268250112,-99.51089339311218,557.3255898996172,1056.8069748178375,1.0208966,15.622957
Gaia DR2 1004065192328490880,-206.44082362935566,1036.8636896261344,1982.885965291843,1.7846264,15.564504
Gaia DR2 1004045057521871360,-137.9765840660261,733.4677149445813,1381.5030898542034,1.1597399,15.547229
Gaia DR2 1004075259731853440,-275.80850667870095,1412.260414028507,2687.4371276200277,3.593287,15.0154505
Gaia DR2 1003852432533238528,-106.01396732882262,482.9849875481065,909.2527593825571,0.89364296,15.76241
Gaia DR2 1003850787561654144,-52.41836734847729,238.7025344605835,448.38305436001326,0.52410847,16.646414
Gaia DR2 1004110817765209472,-6.867786939719264,39.934805029885645,75.85460636915342,0.650144,12.035275
Gaia DR2 1003883360593069312,-44.091486555712976,178.37978083689333,336.4944734918183,0.66669893,14.452393
Gaia DR2 1004114704711455360,-99.5274976647729,588.8203063962654,1118.66953544032,0.83015716,16.358608
Gaia DR2 1004060107087209472,-38.071521952149055,187.45418378751063,356.2315982559744,0.71424997,16.249027
Gaia DR2 1003890026382305792,-121.76067078347322,490.0168433958591,929.1757293857147,0.70880526,16.314037
Gaia DR2 1004143871834398592,-162.29255558443663,885.1481513948036,1724.0928900658691,1.4446998,15.75934
