designation,x,y,z,radius_val,phot_g_mean_mag
Gaia DR2 1002641148675718528,-123.0321353538677,409.2757392158551,722.4488134031502,0.77717847,16.358034
Gaia DR2 1002620842071363840,-176.27783602125854,580.6907370149233,1017.0408723116243,0.6637521,16.828358
Gaia DR2 1002916511915957376,-135.3684929945648,513.0192545106936,920.6266601866278,0.9387804,15.390607
Gaia DR2 1002699805045119232,-138.116037830495,475.23752138298795,847.4387233332005,1.1796051,14.282649
Gaia DR2 1002953169459966976,-118.1449534338047,446.10487129027376,813.2738129624606,1.5472665,13.822984
Gaia DR2 1002913385179766528,-144.33404151977518,544.5207989538984,973.5459481397685,1.4611555,14.1209755
Gaia DR2 1002806693895872768,-239.48320586296884,757.446766080769,1406.6690178663928,0.94276875,15.9936905
Gaia DR2 1002854114630159360,-248.60487945780292,845.1257560554866,1562.6188008757342,1.0679487,16.197372
Gaia DR2 1002695132120701952,-152.0301061162036,522.3656295003867,929.3677586909103,0.70631593,16.577951
Gaia DR2 1002658637782710656,-262.32279982811565,833.8241169909165,1489.3367000511994,1.1474708,15.951903
Gaia DR2 1002854320788590336,-65.86445685853279,224.4245762854863,415.48334539266335,0.7015267,16.254688
Gaia DR2 1002834770097556352,-111.68063567327138,371.2241739829563,681.5957530876796,1.3017315,13.854715
Gaia DR2 1002782818173131392,-84.08787133621419,272.44285543563,497.84332529491553,0.54347,16.551165
Gaia DR2 1002916511915957760,-125.75686258724512,476.63181353152396,855.0009026116476,0.8272879,15.800877
Gaia DR2 1002941250927462784,-271.4188201988092,979.5741101295074,1787.8073735560758,1.4656675,15.434457
Gaia DR2 1002837896833747584,-223.29503252437704,746.382634501436,1375.3171493310697,0.9947256,15.708705
Gaia DR2 1002900981314211328,-211.36763885357135,787.5237411254932,1404.045861465703,2.264065,14.501287
Gaia DR2 1002831643361390208,-200.7659534342347,679.9204695087177,1241.2518726011622,3.824683,13.222395
Gaia DR2 1002701729190468992,-126.4674607537931,439.5309944131826,787.1671869323895,3.6874356,12.839293
Gaia DR2 1002683312370664832,-82.80157452698509,275.3245780382142,497.1479528154777,0.6810091,15.038916
Gaia DR2 1002890359858297216,-162.26359747443013,552.1651898567388,1039.8785371266033,0.53499496,16.822079
Gaia DR2 1002913797496625792,-294.00399887280093,1107.5453387808498,1981.680347183599,2.2134745,14.297345
Gaia DR2 1002693276694829440,-225.82343271199466,770.7882185202482,1366.424569277561,1.3354874,14.717407
Gaia DR2 1002833086470404096,-250.8406859510718,856.0023880968474,1566.5796024351,1.0658511,16.091818
Gaia DR2 1002854148989897600,-92.86293357566446,315.92829263346835,584.4569303784658,0.88154864,14.930886
Gaia DR2 1002913969295317376,-97.25051025026106,367.05594891080426,657.524006119537,0.68206584,16.101221
Gaia DR2 1002916305757526528,-184.09767406985225,696.4756724351183,1249.0590394484232,6.220611,12.241203
Gaia DR2 1002913900575840256,-93.19438676672908,351.09618011779645,628.4098477367718,1.0754006,13.843636
Gaia DR2 1002855454659957760,-117.5169513165152,403.0101957025829,747.5554677334658,0.9927311,15.070538
Gaia DR2 1002765603944266240,-83.99237184993369,263.03672639638216,477.7708692427015,0.5650241,16.518549
Gaia DR2 1002913556978456704,-358.1614885474021,1347.0090344121809,2408.4690589585944,3.1244912,15.064207
