designation,x,y,z,radius_val,phot_g_mean_mag
Gaia DR2 1001820298823061248,-129.66430089163833,708.5024173315835,1196.443952509696,0.81882113,16.501938
Gaia DR2 1001907602621261312,-141.90909436690725,909.9318819604478,1565.419580895159,1.1471872,15.991646
Gaia DR2 1001818065440226432,-71.95934911595099,393.1816888818644,662.265171233206,0.770092,16.897358
Gaia DR2 1001787584057736448,-135.45630514907938,768.9105433352516,1269.620244742945,0.792677,16.819792
Gaia DR2 1001903415030112128,-66.47830665962867,418.6409009976386,718.2548482481205,1.0990387,14.052044
Gaia DR2 1001766388393450880,-82.40278730228975,423.9516054473259,733.3106207306896,1.1802247,13.61765
Gaia DR2 1001866306512851456,-161.96471372932103,1015.0640114963887,1707.8226061903724,1.4542122,15.312984
Gaia DR2 1001925130384797056,-151.01179633335045,822.9294851464889,1411.3871322789341,1.338644,15.108784
Gaia DR2 1001767041228481024,-53.341158243025866,275.84538137349983,477.715828935738,0.866736,16.306528
Gaia DR2 1001848508168375936,-80.91954416433323,502.0616366405685,842.9120066532173,0.707169,16.080574
Gaia DR2 1001883447726319872,-88.103062597269,538.3850896387792,916.792300981586,0.67750967,16.448374
Gaia DR2 1001866237793374464,-252.80476639844272,1580.5503717858762,2657.886378698728,2.072561,15.375136
Gaia DR2 1001842185976682112,-148.307309842445,880.6846294573925,1467.511859820954,1.9278812,14.384875
Gaia DR2 1001872663064314624,-58.287564701106284,381.04310359622735,645.8041230952274,0.6660597,16.505825
Gaia DR2 1001819061872489344,-195.24149453378024,1075.916414020458,1813.83253842464,7.8653226,12.719115
Gaia DR2 1001863759595216512,-97.05717276309767,640.1192845346666,1076.1735385592822,0.73254067,16.49199
Gaia DR2 1001817481324653568,-48.81943197938134,262.4269805491341,443.83083265166545,0.7854573,14.625103
Gaia DR2 1001871013796872576,-153.2628113278721,988.9811056444103,1670.600150448296,2.5595667,13.293582
Gaia DR2 1001807379561590528,-127.02832760216153,678.1774489314922,1134.9053817560991,0.88740295,15.914719
Gaia DR2 1001843526006309888,-167.34962523996018,1012.978138322844,1690.9022614334788,1.141122,15.723452
Gaia DR2 1001752678857846144,-57.92724674297364,290.73613933185425,497.2285194523246,0.6944483,16.498045
Gaia DR2 1001914066549038720,-164.24441581089994,874.1706725672653,1488.2432065404596,1.1695826,16.292831
Gaia DR2 1001865584958217216,-69.44647179500919,457.69033676640277,771.7020986469227,0.6954276,16.87244
Gaia DR2 1001924340110807168,-153.36510993711454,828.9674529866637,1420.7476613286708,1.1354444,15.482405
Gaia DR2 1001864244928417792,-204.12799614394507,1319.6552435889496,2221.486438422901,1.4455026,15.00331
Gaia DR2 1001943856442050688,-127.80650114550865,716.8990793381538,1239.424551407311,1.3776085,14.795482
Gaia DR2 1001866100354290048,-137.68576407976593,903.6208128665885,1526.862315071918,0.9630555,16.019304
Gaia DR2 1001778345582811392,-108.03097231785289,582.7598250017139,962.5930060012856,0.9394629,15.483216
Gaia DR2 1001817481324654336,-150.2879112301799,807.8673129949769,1365.8299290341643,1.7470242,14.397819
Gaia DR2 1001791952039192832,-107.88828428740908,632.4396372759828,1047.8021943756435,0.8079614,16.200443
Gaia DR2 1001778379942549504,-119.48410913071267,642.4314628251317,1061.4953290257365,1.3116883,14.247028
Gaia DR2 1001870601480013440,-71.64358553425204,460.2213588046177,775.873800933203,1.901113,12.657558
Gaia DR2 1001865000842660992,-27.55973149898547,178.47268193731466,301.04708371062185,0.6109119,15.890545
Gaia DR2 1001813907911876992,-85.5217621084026,458.80997317767736,770.5257243152628,0.7521417,16.422724
Gaia DR2 1001758520013372928,-132.2355184592083,675.045949608416,1159.3551602499422,0.71295875,16.927439
Gaia DR2 1001733093807103360,-218.05248580083648,1123.3087192697706,1921.2344531320286,1.4790978,15.857861
Gaia DR2 1001818615196034432,-123.60568547777964,673.0522665756715,1135.7782836355495,0.81952,16.351736
Gaia DR2 1001815866416949504,-164.2411412624752,874.1678186477162,1473.8529375375574,1.0254047,16.39646
Gaia DR2 1001943405469406720,-45.81090496773238,258.46879468825637,446.5002237142316,1.8422711,11.796974
Gaia DR2 1001829713391428224,-75.16388269422902,433.8539566879705,733.1511680659155,1.4168836,13.575508
Gaia DR2 1001907671340740096,-77.78171701995744,501.6612471773849,863.5129549368606,1.0025941,15.052265
Gaia DR2 1001759482086043136,-262.7307592243333,1346.572761106309,2321.027174171324,2.34055,14.090919
Gaia DR2 1001943959521266688,-181.05922799514505,1020.6070376805344,1766.9609351779086,1.1603252,16.21903
Gaia DR2 1001871013796873216,-137.99762293326197,892.0119635587276,1506.893931251326,1.7195448,14.222146
Gaia DR2 1001864622885539456,-146.31483993828306,943.3108845125982,1588.0963629447754,1.0636971,15.570162
Gaia DR2 1001843113689448960,-53.96867962827237,324.9512106661402,541.7424907068548,0.8822673,14.436217
Gaia DR2 1001753572211046912,-106.25623286822147,537.3135519214488,919.8879834641937,1.1499985,14.871403
Gaia DR2 1001862836179148544,-24.664147483746024,160.7366332193635,270.04032134205966,0.7023459,14.484879
Gaia DR2 1001756046112204160,-99.03091306414352,502.72683058112057,864.4144274802475,0.870419,15.085561
Gaia DR2 1001870876357921280,-58.60393980254247,378.94065191736706,639.5847661121661,0.7094812,15.656459
Gaia DR2 1001821501413909248,-92.36447363890808,512.5170899731407,867.7030040940222,2.3695204,12.810522
Gaia DR2 1001760512878197632,-83.69759947840184,432.19328608608896,745.6045350011178,0.59845614,16.322273
Gaia DR2 1001807517000542080,-271.6396676368273,1448.4836148194142,2426.293740208667,4.920696,14.302216
Gaia DR2 1001798441732953344,-70.90697173082746,401.10110876129437,669.7729806126009,0.5070108,16.714302
Gaia DR2 1001870910717659264,-37.31945332457884,241.49067720556172,407.7685078760023,1.2217736,12.868958
Gaia DR2 1001871872790333824,-315.92537602616335,2057.2140587586428,3479.6937804857016,7.7243595,14.052441
Gaia DR2 1001807620079756928,-60.2283756715586,321.9929933667575,539.8853726961328,1.4400104,12.869187
Gaia DR2 1001943925161529344,-43.449947727891164,244.38214559570008,422.7217205232863,1.0891172,14.031577
Gaia DR2 1001862767459670272,-92.57297361883134,599.8779075850946,1007.4271809493954,2.4373612,13.683404
Gaia DR2 1001835176589782912,-31.486456723908372,178.0208326254165,302.78587327662206,0.8847262,12.332814
Gaia DR2 1001855105238133504,-106.83208195583047,660.3003623923319,1112.6046287741472,0.55003667,16.956093
Gaia DR2 1001835142230045696,-75.93615182275596,428.94248898242563,729.1024361238078,1.0638813,14.658422
Gaia DR2 1001814560746908288,-109.79572460239476,591.1137487497658,993.0083995744816,1.0009559,15.32507
Gaia DR2 1001925542699980544,-58.351717468457664,319.41311938179274,548.663549765679,0.7236191,15.12221
Gaia DR2 1001865550598477952,-76.35203620765007,501.8425403976421,846.1978756951644,1.4324917,13.848992
Gaia DR2 1001755977392726144,-118.97141052404474,602.7952525591987,1036.2103992722127,2.0047145,13.343516
Gaia DR2 1001862836179147648,-53.906528465046506,350.5330790193232,588.8322406369053,1.5053287,12.982768
Gaia DR2 1001760203640551424,-74.48787577004165,383.76523468710457,661.7985953359362,1.0832288,14.563329
Gaia DR2 1001835382748211584,-70.44536817181502,399.16386146403653,679.8682954974133,0.60037595,16.93521
Gaia DR2 1001952583815520256,-102.88383697751665,549.080066613373,950.5343222192712,0.9488871,15.723304
Gaia DR2 1001814766905337984,-125.12861903892944,674.7618824815808,1134.5924792499131,0.6414456,16.895737
Gaia DR2 1001952102779183744,-87.04405965801172,463.13090951809704,800.7081346916481,1.2548681,14.315666
Gaia DR2 1001949044762470272,-36.823701447974834,195.64122388312174,338.0016744504086,0.600832,16.372452
Gaia DR2 1001920388740897152,-157.65760500240694,843.6960812737485,1440.1839202471563,1.1472868,15.772243
Gaia DR2 1001940317389000960,-72.25783656196654,403.8053752016366,696.9134846057905,0.706361,15.387126
Gaia DR2 1001920285661677184,-156.77383103574056,835.3899815911025,1425.682784466496,0.92459446,16.594448
Gaia DR2 1001918597740472832,-99.30869664045775,541.5439389310052,925.7545720727236,0.8256908,17.051617
Gaia DR2 1001959936799534720,-246.86064064371797,1334.7137157813938,2319.341421610345,3.3203208,15.025421
Gaia DR2 1001737075239774976,-44.643930498422684,213.78693048117472,364.63825874505216,0.61479074,16.683067
