designation,x,y,z,radius_val,phot_g_mean_mag
Gaia DR2 1004702565475926400,-100.41505347459498,1089.184238043532,1845.5763627415442,1.4500364,15.465841
Gaia DR2 1004845089670488704,-86.81401227920477,980.4235480023092,1708.3800634543338,1.3299923,15.80521
Gaia DR2 1004838767478630400,-11.937584586207509,133.06911453637963,231.24444399750266,0.87381727,12.634166
Gaia DR2 1004748710604641792,-42.50251062196435,438.1036174735854,742.5034039655447,0.7264451,15.876268
Gaia DR2 1004900099611496448,-90.29697621338609,670.9305820717655,1153.6011126677092,0.88614386,16.393593
Gaia DR2 1004687825148263168,-61.21674882926996,775.5918951531798,1302.2473816929073,1.2043128,14.793092
Gaia DR2 1004750497311036416,-120.88887942010174,1256.462628786537,2132.746916107488,1.564063,15.804881
Gaia DR2 1004887455227780352,-100.72866966851471,726.4199447374779,1237.5040238537665,0.9144699,16.503485
Gaia DR2 1004820178860231936,-64.77363855616332,797.0306662881085,1372.397194420441,0.82501316,16.478922
Gaia DR2 1004796779878630272,-22.204524111456145,244.1256270602859,414.4268497161483,0.5493244,16.816399
Gaia DR2 1004809149384295424,-171.74174016253167,1898.0463339510245,3256.068745596497,10.596919,13.221397
Gaia DR2 1004813616150307712,-64.28044338982734,748.8817940357918,1280.1852419426236,9.972959,11.724143
Gaia DR2 1004772174009253888,-26.774708923278144,235.43283683047534,405.648151151796,0.64157265,16.285212
Gaia DR2 1004748710604642176,-79.77739869442699,821.0636825714937,1390.9708083986789,1.2284067,15.2435255
Gaia DR2 1004859039724270720,-39.1313707038678,468.10813526053624,820.9893274881985,0.74331194,16.397997
Gaia DR2 1004796814238367744,-35.27488855231977,385.9256376183204,655.4941977672104,0.65746737,16.494398
Gaia DR2 1004819526025313152,-72.76981013475631,891.839044663425,1530.7161028564333,1.1513753,16.279951
Gaia DR2 1004837290009881216,-37.948148146524424,417.1070552044047,723.0107110939261,0.6052208,16.74351
Gaia DR2 1004747606796912256,-39.864826249709694,401.67287011909076,679.4697146331574,0.66315323,16.490013
Gaia DR2 1004890650683447936,-66.62239062635074,483.6880311471044,825.6671790870311,0.7114244,16.391886
Gaia DR2 1004898209825886592,-49.18738701179172,362.07155782643963,620.8913925140718,0.7792822,15.595698
Gaia DR2 1004796470640984320,-74.3792826127734,810.4006132243142,1374.501416078819,0.964531,16.34138
Gaia DR2 1004857287377613568,-52.50371082208918,608.9765441604488,1063.393268008898,0.52548474,16.610514
Gaia DR2 1004890616323710336,-83.603073629192,607.3904614309843,1036.4561741064056,0.8474649,15.652212
Gaia DR2 1004729739732081024,-26.779877730182886,249.89377523184785,419.4502943137879,1.1609107,13.200657
Gaia DR2 1004847872809603328,-58.56799048603253,664.6327059048224,1164.9911350920045,1.2019945,14.986537
Gaia DR2 1004857287377613184,-69.13712070698551,802.405190290654,1401.5350609581556,2.4399004,13.739649
Gaia DR2 1004684320454944384,-59.67437316462503,733.920200866602,1229.5962604133285,0.8850393,16.483126
Gaia DR2 1004896526198707456,-121.01212134493942,879.9458296932261,1503.4345585544572,0.90442616,16.428185
Gaia DR2 1004822996358770816,-32.787617844913484,392.6769103592753,676.1496605394652,0.6418385,16.704693
Gaia DR2 1004857081219182720,-25.139027286854503,290.58871889474034,507.2874284176334,0.6035475,15.490151
Gaia DR2 1004858558687932672,-77.75846851869426,916.3890864325361,1604.2701956236078,1.44373,14.802932
Gaia DR2 1004857321737351168,-93.64067987907619,1090.4579015256447,1905.8456690124628,1.2862631,15.823638
Gaia DR2 1004725174183918592,-30.975385688316745,277.15672177950256,463.7700170070461,0.5854485,16.205685
Gaia DR2 1004699541818956288,-112.51993015828626,1206.6431766624223,2035.381861654936,1.2122581,16.168947
Gaia DR2 1004851136984451584,-56.40837275188222,654.3296324602335,1140.135823479593,2.576362,13.082214
Gaia DR2 1004863781368166656,-24.322497656810302,297.89102128470455,523.9458460713153,0.6230787,15.985637
Gaia DR2 1004863953166858368,-65.954713839895,812.7672901526773,1430.7818738754033,2.2750764,13.931963
Gaia DR2 1004681983992734208,-69.12655313092563,838.9489432824993,1403.2995686244278,1.703483,14.402769
Gaia DR2 1004888825320841472,-80.70907312815136,598.970502619809,1016.6073829806148,1.8985656,13.455374
Gaia DR2 1004709437421732352,-164.48230728258113,2022.8911136056506,3415.4723837222655,37.322582,11.796036
Gaia DR2 1004887592666732160,-124.8342453356375,900.6714314507366,1535.6942308196299,1.262557,15.374011
Gaia DR2 1004762798097423104,-22.26560590494845,197.9649074749084,337.6705669444972,0.57902205,16.349455
Gaia DR2 1004800903047114752,-52.91591490261871,607.0428136653615,1033.8649952032886,0.6213957,16.066738
Gaia DR2 1004750840908476032,-54.07602307722342,557.6212613555386,947.7881441185199,0.89801294,15.515235
Gaia DR2 1004837702326739456,-29.628574199334654,325.48961797875296,564.7761713785784,1.0022314,13.8196535
Gaia DR2 1004813444351618560,-35.04902239675885,407.91590202810164,696.3352691304499,0.8716761,16.203491
Gaia DR2 1004887386508302208,-154.03526111912424,1105.5325376136693,1882.226319655554,1.5078896,16.097763
Gaia DR2 1004802964631568000,-65.2156887239709,734.3166035895721,1257.8507266012089,2.0500667,13.475888
Gaia DR2 1004681124999274496,-47.23986714811486,561.3326665004878,936.180731911989,1.5134401,14.3428955
Gaia DR2 1004887931967645184,-45.12531128908707,331.3205855860016,561.9323541088737,1.1700625,13.736987
Gaia DR2 1004816399289118336,-86.53621062387036,1042.2866382480458,1788.0911924674601,1.8130612,14.929097
Gaia DR2 1004867144327240448,-128.26764020306496,874.6744937804299,1473.0159126545043,0.9196767,16.040533
Gaia DR2 1004682808626458240,-48.729967639170525,597.3736634964805,999.729871676412,0.83735967,16.210922
Gaia DR2 1004756304106875776,-35.77816792792518,358.64420022803466,610.9714939304152,0.6279033,15.888082
Gaia DR2 1004700813129275008,-28.668755903986053,305.7494639469348,515.6276139281539,0.6562065,15.983081
Gaia DR2 1004818185995657856,-18.602053951190964,234.81422540987765,402.80891156881864,1.2923633,12.075595
Gaia DR2 1004687687709304832,-59.91515649813975,748.2352468678351,1256.1490893683333,8.379925,11.766577
Gaia DR2 1004774789646112768,-91.02686774586331,857.8310094090813,1475.9115100752042,0.9872197,16.079788
Gaia DR2 1004892231231399680,-116.72509215434752,818.891073974345,1395.703370212214,0.92107415,16.40344
Gaia DR2 1004687756428782336,-21.028609466987312,264.5808325447892,444.49771463604515,0.7610399,14.139943
Gaia DR2 1004872023408781952,-151.84081901622812,1061.9823965437745,1797.0995065043055,15.5718975,11.848206
Gaia DR2 1004816433648855424,-20.059428446726027,241.73397934040568,414.96425956181577,0.70053345,14.614202
Gaia DR2 1004838114643601024,-67.37662823758897,750.2664478072271,1303.9563491273013,0.8910461,16.647406
Gaia DR2 1004896732357139456,-23.90792470960261,174.2632160321676,297.68502898843604,1.2363867,11.768107
Gaia DR2 1004912228599079552,-77.44254191046493,508.2718254609207,877.8161661321572,1.3101256,14.238472
Gaia DR2 1004751150146060544,-87.49466692011806,912.2746235587716,1552.6728906952546,0.9396492,16.772934
Gaia DR2 1004899687294624000,-112.81694125957455,820.3533780254377,1411.6304477776287,1.769316,14.796896
Gaia DR2 1004863850087645568,-32.968084307649065,405.1705596181058,712.5348195873523,2.0467403,13.043286
Gaia DR2 1004773243457741440,-57.98866643763043,521.5922948675661,900.0316996923324,2.3417654,12.7895
Gaia DR2 1004813478711356288,-44.685997577069706,520.180836532205,888.1504962861997,0.99872625,14.970152
Gaia DR2 1004818185995657600,-26.152890336080006,329.51925885479756,565.2455658438981,0.6899401,16.289045
Gaia DR2 1004726857811096192,-90.40005172773748,828.6046248157602,1390.08009528772,0.7713559,16.353632
Gaia DR2 1004873672676223104,-82.21457697964256,572.3657125412502,970.0283021602161,1.9068954,13.231041
Gaia DR2 1004816227490424960,-99.4477091065413,1186.07009132941,2033.2533633147293,1.657686,15.800827
Gaia DR2 1004923670391999104,-116.99220467648392,845.1142563606243,1458.0541381423814,0.9938615,15.914833
Gaia DR2 1004815574655395200,-73.03973783751859,868.6813057788672,1489.330933874519,0.8112632,16.742373
Gaia DR2 1004725204246619648,-111.23001334207066,997.8147342474376,1668.0240246595588,1.2105358,16.08381
Gaia DR2 1004781829096542976,-91.66605629351594,897.2260789696348,1544.262659388225,1.5167859,15.66432
Gaia DR2 1004817636239710208,-27.74871210903811,349.82953475564517,598.8662154808873,2.4850345,11.603981
Gaia DR2 1004900477568606848,-73.4503575474506,537.1439600111506,925.4712913276468,0.78169775,16.517141
Gaia DR2 1004810523774008448,-108.02158516642677,1241.682424099546,2135.6836236041718,1.6517912,15.8400755
Gaia DR2 1004863433474800128,-73.80883623214358,937.3203334927603,1649.8995247548378,1.1418624,16.328037
Gaia DR2 1004665491318297984,-39.23424906596303,440.3318781232537,732.9701594355754,0.93516535,15.149254
Gaia DR2 1004876490174768000,-37.52729263052134,253.9208056564705,431.6149735114239,0.79536605,13.718571
Gaia DR2 1004727648085077376,-91.81216309654964,823.8963414083594,1384.853267002121,1.1557113,15.75865
Gaia DR2 1004675146404805888,-23.42469256053605,280.2605517521837,466.7564993839164,1.3609521,12.46236
Gaia DR2 1004858112011338240,-17.273292943099385,203.56334837584762,355.8196111893839,0.5669167,16.111288
Gaia DR2 1004699335660525440,-13.40157022559583,142.9333097248767,241.00508321455044,0.71188456,14.371865
Gaia DR2 1004662948697680000,-71.66787476644772,829.3922644402978,1377.4053251801977,2.0358112,13.324086
Gaia DR2 1004745545212613248,-16.097488704681275,156.7519227172256,265.3449349756434,0.60878915,15.4859915
