designation,x,y,z,radius_val,phot_g_mean_mag
Gaia DR2 1000547133076926336,-149.27112549752582,514.7098672675842,833.3177660232566,0.77816474,16.72405
Gaia DR2 1000651410586787968,-166.4263134600684,681.3196213376758,1076.911080650289,0.9574818,16.00516
Gaia DR2 1000433024385919872,-340.22182810589237,1281.9777182923278,1990.693485166208,1.5908747,15.439328
Gaia DR2 1000612931975838848,-188.57611379755613,697.1459734584078,1135.3705523901592,1.3955438,14.427653
Gaia DR2 1000544212499188736,-174.4225265340814,612.5259913857211,990.3281824205343,1.5996095,14.020767
Gaia DR2 1000551943440296832,-198.8341858334785,691.2439388615503,1124.908952148049,1.0639552,15.182246
Gaia DR2 1000599149424867712,-110.52625399250209,427.51498969746586,693.9719628190525,1.5874679,12.217617
Gaia DR2 1000565790414774528,-141.85922164271165,505.44897256738767,824.0745469871438,1.5705519,13.197513
Gaia DR2 1000570463339193728,-125.88047905141285,452.55090148226424,740.6859372780997,0.89445865,14.675783
Gaia DR2 1000543216066776448,-65.44150998236881,229.02593213268725,369.5537232077211,0.53336805,15.069825
Gaia DR2 1000570910015793664,-221.58466255190666,799.9293466695694,1310.948001393979,1.3280041,15.043854
Gaia DR2 1000666601887293952,-305.74016932743064,1293.500368779479,2051.135446702541,1.3363132,15.956065
Gaia DR2 1000435841884466944,-103.18608841799043,391.906061576696,610.7033260546856,1.430213,12.784306
Gaia DR2 1000475321223707648,-255.6269915512471,972.3388300468265,1541.2351533159676,1.120314,15.700023
Gaia DR2 1000570910015793792,-240.74667121632993,869.0271209643907,1424.0890904022015,0.75784606,16.416658
Gaia DR2 1000569157669247872,-81.46202627505178,292.49596922748924,477.6624400818837,0.8986686,13.843599
Gaia DR2 1000432577709404800,-125.97613322167219,475.2631937260967,736.8936553813852,0.9599763,14.792686
Gaia DR2 1000553730146691840,-223.63711601128674,779.3402732705713,1270.165348223329,0.8914242,15.499392
Gaia DR2 1000480990580517120,-202.28741105039595,760.7404753645523,1210.7079796329213,0.87352306,16.66601
Gaia DR2 1000543044268081920,-91.10966911346156,318.33781785643276,513.7081477168383,1.1049874,13.328483
Gaia DR2 1000591697657566336,-245.5634804756088,936.6818873943669,1509.0550506773352,0.81661874,16.384134
Gaia DR2 1000440789686796160,-101.56857116702348,391.1186116894242,612.3101358282166,1.3313588,14.014042
Gaia DR2 1000621448895052800,-21.125448804685206,76.99675010885836,127.0472342399055,0.5831312,12.6709795
Gaia DR2 1000488206125592448,-101.8461489336781,390.3802726132316,622.0065888652904,0.8829086,14.909727
Gaia DR2 1000597985489687168,-381.38163003981225,1469.5394258201823,2380.3648872777003,1.7785718,15.436676
Gaia DR2 1000568779712014592,-131.1876306501711,468.85953987243994,764.2730768653867,0.8469584,15.650567
Gaia DR2 1000641033945918080,-64.1048864582458,244.56480819950795,404.9876154794823,6.851026,9.744747
Gaia DR2 1000639900075193472,-196.505994675784,745.4682759677582,1232.409566419163,0.854041,16.524757
Gaia DR2 1000559536942503424,-127.8121829992048,454.79491112206534,739.4775383927262,1.1036365,14.1771755
Gaia DR2 1000548026430122496,-117.33051780195542,405.08215913223535,656.7230616890638,1.7705723,13.20407
Gaia DR2 1000598294727332864,-207.4843843652939,801.5136840843528,1299.673470300227,0.94210964,16.109726
Gaia DR2 1000518958091496320,-129.63362595339933,454.58283719303085,731.1855054619631,0.837782,15.297606
Gaia DR2 1000569668769344128,-98.59608851691999,353.89938208079207,578.8030765817535,1.190551,13.428912
Gaia DR2 1000559914899625728,-446.7643120378323,1593.779271667062,2594.8824786233513,9.567843,13.023017
Gaia DR2 1000539505215030656,-219.33879779378313,763.2231849470347,1228.4102132508604,1.8968693,13.558503
Gaia DR2 1000569123309399808,-126.68767769995739,455.1457963875883,742.8645476016984,0.8898283,14.795155
Gaia DR2 1000548129509337216,-93.91105326559111,324.57507078794714,526.6455421396115,0.70520633,16.60145
Gaia DR2 1000478001283278848,-89.04160767193582,334.42278007474454,531.8870763793881,0.76503336,16.98289
Gaia DR2 1000543250426513152,-78.38319997876937,274.4199388362581,443.07695856770914,0.98293054,13.646152
Gaia DR2 1000555031521116032,-243.3854626168127,847.822859113732,1385.0684314283642,0.9000904,15.893358
Gaia DR2 1000590941743321344,-246.12420257211934,934.2061266391446,1502.0369334983563,0.7518133,16.554304
Gaia DR2 1000524245194880384,-213.87365514313865,769.7025680488267,1231.461852333303,0.86516446,16.530115
Gaia DR2 1000615337157732992,-141.25314413658717,524.3159183503479,857.2727491306628,1.5213099,13.365568
Gaia DR2 1000591319700443136,-148.7495636761508,564.9590396129271,908.763234584004,1.0217055,14.86426
Gaia DR2 1000613344292697344,-113.90877034144961,420.9376813250855,686.1499926552942,1.0973765,13.434576
Gaia DR2 1000520401200635008,-132.6857621427553,476.0132216555815,756.13382014527,11.205398,10.109168
